Device name,Base price,Discout,Bonus,Gift_Details,Gift_value
Телефон сотовый VIVO V25 5G 8/256GB Diamond Black (V2202),259990,259990,25999,"['Смарт часы Zeblaze Btalk Smart Watch 44 mm Green / Зеленый', 'Смарт часы Zeblaze Btalk Smart Watch 44 mm Orange / Оранжевый']"
Телефон сотовый VIVO V25 Pro 5G 12/256GB Starlight Black (V2158),329990,329990,32999,"['Смарт часы Zeblaze Btalk Smart Watch 44 mm Green / Зеленый', 'Смарт часы Zeblaze Btalk Smart Watch 44 mm Orange / Оранжевый']",29990
Телефон сотовый VIVO V25 Pro 5G 12/256GB Starlight Black (V2158),329990,329990,32999,"['Смарт часы Zeblaze Btalk Smart Watch 44 mm Green / Зеленый', 'Смарт часы Zeblaze Btalk Smart Watch 44 mm Orange / Оранжевый', 'Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']"
Телефон сотовый OPPO RENO 7 5G (8/256GB) Starry Black,259990,259990,25999,[]
Телефон сотовый XIAOMI 11T 8/256GB Celestial Blue,279990,279990,5599,[]
Телефон сотовый SAMSUNG SM A 736 Galaxy A73 5G 6/128GB BLGDS (Green),299890,249890,24989,"['Наушники для телефона SAMSUNG Galaxy Buds Live (black) SM-R180NZKASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (white) SM-R180NZWASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (bronze) SM-R180NZNASER', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']",89990
Телефон сотовый SAMSUNG SM A 736 Galaxy A73 5G 6/128GB BLGDS (Green),299890,249890,24989,"['Наушники для телефона SAMSUNG Galaxy Buds Live (black) SM-R180NZKASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (white) SM-R180NZWASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (bronze) SM-R180NZNASER', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']"
Телефон сотовый SAMSUNG SM A 736 Galaxy A73 5G 8/256GB BLGHS (Green),339890,279890,27989,"['Наушники для телефона SAMSUNG Galaxy Buds Live (black) SM-R180NZKASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (white) SM-R180NZWASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (bronze) SM-R180NZNASER', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']",89990
Телефон сотовый SAMSUNG SM A 736 Galaxy A73 5G 8/256GB BLGHS (Green),339890,279890,27989,"['Наушники для телефона SAMSUNG Galaxy Buds Live (black) SM-R180NZKASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (white) SM-R180NZWASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (bronze) SM-R180NZNASER', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']"
Телефон сотовый SAMSUNG SM G 990 Galaxy S21 FE 128GB NEW BZAFS (Gray),349890,299890,29989,"['Наушники для телефона SAMSUNG Galaxy Buds Live (black) SM-R180NZKASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (white) SM-R180NZWASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (bronze) SM-R180NZNASER', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']",89990
Телефон сотовый SAMSUNG SM G 990 Galaxy S21 FE 128GB NEW BZAFS (Gray),349890,299890,29989,"['Наушники для телефона SAMSUNG Galaxy Buds Live (black) SM-R180NZKASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (white) SM-R180NZWASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (bronze) SM-R180NZNASER', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']"
